FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
CLOUDPLATFORMSVCS_10A00_LEAD_COMP_SUM_C,144.0,144.5,132.8,149.8,1,Tentative,PIPE COMP,2,9%,-4%,-6%,4%,1%,-1%,-7%,9%,KEEP
DEV_SVC_20D0F_LEAD_COMP_SUM_C_FLG,114.5,112.7,106.6,123.2,1,Confirmed,FLG,FLG,5%,-2%,-6%,5%,2%,-1%,-5%,6%,KEEP
CLOUDPLATFORMSVCS_10A00_LEAD_INDIV_SUM_I,96.9,96.9,91.8,101.5,1,Tentative,PIPE INDIV,4,15%,-3%,-5%,-3%,-2%,-2%,-6%,15%,KEEP
PUB_CLOUD_153QH_LEAD_INDIV_SUM_I_FLG,94.4,94.4,87.9,101.7,1,Confirmed,FLG,FLG,9%,-2%,-3%,-2%,-1%,-1%,-3%,9%,KEEP
DATA_AI_15ANP_LEAD_INDIV_SUM_I_FLG,86.5,86.3,79.8,90.1,1,Confirmed,FLG,FLG,16%,-4%,-5%,-4%,-2%,-2%,-6%,16%,KEEP
LDR_LEAD_COMP_SUM_C,85.4,85.6,80.9,90.5,1,Tentative,PIPE COMP,3,-1%,-2%,-5%,6%,0%,0%,0%,6%,KEEP
CLD_INTR_DEV_20A0W_LEAD_COMP_SUM_C,86.4,85.4,82.1,93.0,1,Tentative,PIPE COMP,1,6%,-3%,-4%,4%,0%,-1%,-5%,6%,KEEP
ALL_WON_DTL_REVN_COMP_SUM_C,74.3,74.0,68.1,78.9,1,Tentative,PIPE COMP,1,-3%,-3%,-3%,11%,2%,-1%,-5%,11%,KEEP
VMWARE_20D0D_LEAD_COMP_SUM_C_FLG,71.1,70.9,66.2,76.9,1,Confirmed,FLG,FLG,3%,-3%,-3%,4%,2%,-1%,-4%,4%,DROP
OO_BP_LEAD_COMP_SUM_C,69.6,70.2,65.7,73.8,1,Tentative,PIPE COMP,3,1%,-4%,6%,0%,1%,-2%,-5%,6%,KEEP
