FIELD,corr85,r,type
DV_IS_OPEN,NA,NA,KEEP
DV_IS_WIN,NA,NA,KEEP
NEW_CONTACT_FLG,NA,NA,KEEP
DAYS_DIFF,NA,NA,KEEP
JOB_LVL_CD,NA,NA,KEEP
NEW_CLIENT_FLG,NA,NA,KEEP
P_SCORE,NA,NA,KEEP
IND_STRENGTH_NUM,NA,NA,KEEP
MCCT_OTH_COMP_CNT_1YR,NA,NA,KEEP
UT10_OFFER_10G00_COMP_CNT_60DAYS,NA,NA,KEEP
UT15_OFFER_15MSC_COMP_CNT_1YR,NA,NA,KEEP
UT20_OFFER_20C07_COMP_CNT_1YR,NA,NA,KEEP
UT30_OFFER_30A5C_COMP_CNT_1YR,NA,NA,KEEP
UT30_OFFER_30AG3_COMP_CNT_60DAYS,NA,NA,KEEP
UT30_OFFER_30AXK_COMP_CNT_1YR,NA,NA,KEEP
UT30_OFFER_30BQJ_COMP_CNT_1YR,NA,NA,KEEP
UT30_OFFER_30BQX_COMP_CNT_1YR,NA,NA,KEEP
CNTTYP_TY016_COMP_CNT_1YR,NA,NA,KEEP
UT15_OFFER_15SCT_COMP_CNT_60DAYS,NA,NA,KEEP
UT20_OFFER_20A0M_COMP_CNT_60DAYS,UT30_OFFER_30AG3_COMP_CNT_60DAYS,0.9868741705226312,DROP
UT20_OFFER_20D0C_COMP_CNT_60DAYS,NA,NA,KEEP
UT30_OFFER_30DEZ_COMP_CNT_60DAYS,UT20_OFFER_20D0C_COMP_CNT_60DAYS,0.9872286402170853,DROP
CNTTYP_TY708_COMP_CNT_1YR,NA,NA,KEEP
MITC_OTH_COMP_CNT_1YR,MCCT_OTH_COMP_CNT_1YR,0.9737178037830396,DROP
UT15_OFFER_15CPT_COMP_CNT_1YR,NA,NA,KEEP
UT20_OFFER_20A0X_COMP_CNT_1YR,NA,NA,KEEP
UT15_OFFER_15ITT_COMP_CNT_60DAYS,NA,NA,KEEP
UT20_OFFER_20A0N_COMP_CNT_1YR,NA,NA,KEEP
