FIELD,TABLE
URN_IDM_INDIV,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
URN_IDM_COMP,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
URN_IDM_COMP_IOP,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
URN_IDM_COMP_NEW,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
URN_IDM_INDIV_ACTV,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
URN_IDM_COMP_NEW_ACTV,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MIP_INBOUND_MKTG_INTRCTN_ID,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_NUM,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_DTL_KEY,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_ID,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_ID_NAME,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_SRC_CD,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_SRC_NAME,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
OPTY_SALES_STAGE,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT10_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT15_1_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT15_2_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT15_3_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_1_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_2_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_3_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_4_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_5_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_6_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MODEL_UT20_7_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
DV_IS_OPEN,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
DV_IS_WIN,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
NEW_CONTACT_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
DAYS_DIFF,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
JOB_LVL_CD,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
NEW_CLIENT_FLG,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
P_SCORE,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
IND_STRENGTH_NUM,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
MCCT_OTH_COMP_CNT_1YR,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
UT10_OFFER_10G00_COMP_CNT_60DAYS,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
UT15_OFFER_15MSC_COMP_CNT_1YR,ACS_MQLR0.MQL_MODELING_CLEAN_POSITIVE_20JAN2022
